-------------
Timestamp (s.ms),X (mm),Y (mm)
51.36,25,33
51.40,23,27
51.43,24,30
51.46,26,33
51.50,26,31
51.53,27,30
51.57,23,31
51.60,26,31
51.63,27,28
51.67,23,28
51.70,22,29
51.73,22,27
51.77,24,29
51.80,24,29
51.84,24,30
51.87,25,29
51.90,24,28
51.94,26,27
51.97,26,30
52.00,25,29
52.04,25,30
52.07,27,32
52.10,26,31
52.14,27,30
52.17,26,30
52.21,27,31
52.24,27,30
52.27,26,29
52.31,28,32
52.34,28,33
52.38,28,32
52.41,25,30
52.44,29,33
52.48,28,31
52.51,26,30
52.54,27,31
52.58,26,30
52.61,26,30
52.65,25,28
52.68,26,30
52.71,25,29
52.75,28,33
52.78,28,31
52.82,26,30
52.85,26,30
52.95,27,31
52.99,29,30
53.02,30,32
53.09,31,34
53.12,29,31
53.16,30,33
53.19,27,30
