Timestamp (s.ms),X (mm),Y (mm)
2.74,32,34
2.82,28,40
2.98,25,28
3.07,25,28
3.15,25,29
3.23,21,27
3.31,26,28
3.39,27,26
3.47,24,29
3.55,23,29
3.63,23,28
3.71,25,33
3.79,23,26
3.88,27,28
3.96,21,31
4.04,24,34
4.12,24,31
4.20,27,30
4.28,26,31
4.36,25,29
4.44,25,32
4.52,27,33
4.60,27,30
4.68,26,32
4.76,24,29
4.84,25,31
4.92,27,34
5.00,22,29
5.08,27,32
5.16,26,31
5.24,26,30
5.32,24,33
5.40,24,26
5.48,26,29
5.57,32,32
5.64,28,29
5.72,27,29
5.81,27,28
5.89,28,30
5.96,31,33
6.04,31,36
6.13,32,32
7.13,27,30
