Timestamp (s.ms),X (mm),Y (mm)
7.28,685,221
7.36,673,203
7.44,659,184
7.52,644,169
7.60,633,151
7.76,606,122
7.84,591,109
7.92,579,96
8.00,566,88
8.08,553,79
8.16,537,71
8.24,525,64
8.32,514,61
8.49,485,46
8.57,473,45
8.65,461,44
8.73,448,42
8.81,434,44
8.89,421,45
8.97,408,48
9.05,395,51
9.13,382,56
9.21,371,62
9.29,358,70
9.37,343,80
9.45,330,87
9.53,318,98
9.61,304,108
9.69,292,123
9.77,279,136
9.85,261,153
9.93,251,165
10.01,238,185
10.09,226,203
10.17,212,223
10.25,198,244
10.33,185,266
10.41,172,289
10.49,160,312
